time,open,high,low,close,volume
2026-01-16 05:45:00,4596.36,4597.49,4595.17,4595.79,1078
2026-01-16 05:50:00,4595.81,4596.97,4595.56,4596.75,690
2026-01-16 05:55:00,4596.76,4597.27,4595.79,4596.38,925
2026-01-16 06:00:00,4596.28,4598.63,4596.11,4597.98,679
2026-01-16 06:05:00,4598.02,4599.05,4597.39,4598.61,825
2026-01-16 06:10:00,4598.62,4599.58,4598.27,4598.64,693
2026-01-16 06:15:00,4598.61,4600.42,4598.43,4600.37,658
2026-01-16 06:20:00,4600.36,4601.39,4598.35,4598.77,797
2026-01-16 06:25:00,4598.76,4599.27,4598.27,4598.6,627
2026-01-16 06:30:00,4598.58,4598.82,4597.26,4598.21,745
2026-01-16 06:35:00,4598.19,4599.96,4597.58,4599.74,700
2026-01-16 06:40:00,4599.73,4600.94,4599.34,4599.99,641
2026-01-16 06:45:00,4600.0,4601.07,4599.8,4599.86,647
2026-01-16 06:50:00,4599.85,4600.35,4598.91,4600.33,715
2026-01-16 06:55:00,4600.32,4602.04,4600.26,4601.19,612
2026-01-16 07:00:00,4601.23,4601.44,4599.55,4599.93,616
2026-01-16 07:05:00,4599.71,4600.41,4599.23,4599.51,754
2026-01-16 07:10:00,4599.52,4599.94,4595.34,4596.53,891
2026-01-16 07:15:00,4596.52,4598.39,4595.52,4597.87,872
2026-01-16 07:20:00,4597.89,4600.63,4597.65,4600.38,699
2026-01-16 07:25:00,4600.4,4601.64,4600.31,4601.32,746
2026-01-16 07:30:00,4601.29,4603.54,4596.59,4598.7,1849
2026-01-16 07:35:00,4598.69,4604.09,4598.49,4603.34,1496
2026-01-16 07:40:00,4603.24,4606.91,4602.97,4606.91,1338
2026-01-16 07:45:00,4606.92,4612.99,4606.69,4611.61,1704
2026-01-16 07:50:00,4611.6,4613.51,4610.95,4612.25,1253
2026-01-16 07:55:00,4612.23,4616.06,4611.31,4611.53,1464
2026-01-16 08:00:00,4611.52,4612.32,4606.81,4607.23,1624
2026-01-16 08:05:00,4607.16,4609.23,4606.39,4607.84,1510
2026-01-16 08:10:00,4607.85,4608.03,4604.13,4604.91,1755
2026-01-16 08:15:00,4604.89,4607.07,4603.59,4605.83,1645
2026-01-16 08:20:00,4605.84,4609.16,4605.81,4608.3,1368
2026-01-16 08:25:00,4608.28,4608.42,4604.54,4604.55,1299
2026-01-16 08:30:00,4604.35,4608.05,4602.62,4606.1,1522
2026-01-16 08:35:00,4606.02,4606.75,4604.25,4605.21,979
2026-01-16 08:40:00,4605.22,4605.65,4595.73,4596.01,1438
2026-01-16 08:45:00,4595.66,4598.95,4594.14,4596.73,1803
2026-01-16 08:50:00,4596.81,4598.94,4595.01,4596.91,1577
2026-01-16 08:55:00,4596.93,4599.18,4596.75,4598.09,1202
2026-01-16 09:00:00,4598.16,4601.42,4596.94,4601.18,1134
2026-01-16 09:05:00,4601.17,4606.37,4601.14,4606.3,942
2026-01-16 09:10:00,4606.31,4612.1,4606.03,4610.15,1203
2026-01-16 09:15:00,4610.16,4610.16,4607.37,4609.16,931
2026-01-16 09:20:00,4609.15,4609.32,4604.94,4605.91,1036
2026-01-16 09:25:00,4605.84,4606.95,4605.01,4606.02,941
2026-01-16 09:30:00,4605.98,4607.54,4603.59,4606.89,1204
2026-01-16 09:35:00,4606.83,4611.9,4606.77,4607.3,1426
2026-01-16 09:40:00,4607.41,4608.09,4601.06,4602.99,1051
2026-01-16 09:45:00,4602.96,4609.62,4601.91,4608.02,1035
2026-01-16 09:50:00,4608.12,4608.89,4606.72,4607.63,680
2026-01-16 09:55:00,4607.56,4609.17,4607.16,4607.58,768
2026-01-16 10:00:00,4606.89,4610.42,4605.49,4608.46,1086
2026-01-16 10:05:00,4608.48,4609.01,4605.34,4605.66,760
2026-01-16 10:10:00,4605.68,4608.61,4604.85,4605.01,820
2026-01-16 10:15:00,4604.94,4607.71,4604.67,4607.37,677
2026-01-16 10:20:00,4607.34,4609.68,4605.37,4609.62,963
2026-01-16 10:25:00,4609.61,4610.61,4607.2,4607.34,1065
2026-01-16 10:30:00,4607.33,4609.05,4606.17,4606.29,853
2026-01-16 10:35:00,4606.31,4606.66,4603.66,4605.35,879
2026-01-16 10:40:00,4605.34,4605.51,4602.1,4602.21,831
2026-01-16 10:45:00,4602.19,4603.24,4601.34,4602.92,861
2026-01-16 10:50:00,4602.93,4607.28,4602.4,4606.38,809
2026-01-16 10:55:00,4606.36,4607.44,4602.66,4603.3,870
2026-01-16 11:00:00,4603.26,4604.94,4602.38,4604.92,798
2026-01-16 11:05:00,4604.93,4608.47,4604.68,4605.94,1009
2026-01-16 11:10:00,4605.96,4606.28,4604.36,4604.91,861
2026-01-16 11:15:00,4604.96,4605.13,4602.17,4603.51,805
2026-01-16 11:20:00,4603.5,4604.33,4601.06,4601.62,757
2026-01-16 11:25:00,4601.64,4601.99,4599.7,4601.21,694
2026-01-16 11:30:00,4601.22,4601.74,4598.94,4599.88,526
2026-01-16 11:35:00,4599.87,4600.75,4599.17,4600.61,493
2026-01-16 11:40:00,4600.63,4603.56,4599.78,4603.5,570
2026-01-16 11:45:00,4603.51,4603.52,4601.44,4601.57,601
2026-01-16 11:50:00,4601.41,4601.82,4600.33,4601.22,777
2026-01-16 11:55:00,4601.21,4602.22,4600.48,4600.77,727
2026-01-16 12:00:00,4600.72,4605.26,4600.57,4605.02,744
